t,Fx,Fy,Fz
0.0004, 50.1758,-0.0003,-22.4904
0.0013, 14.5509,-0.0310,122.3920
0.0021, -22.9767,-0.0009,102.3687
0.0029, -91.3978,-0.0405,163.9272
0.0038, 110.7559,-0.0243,90.0705
0.0046, -46.7976,-0.0094,120.4686
0.0054, 38.6660,0.0023,104.1430
0.0063, 18.6548,-0.0013,109.8453
0.0071, 34.6127,0.0043,105.0935
0.0079, 50.0085,-0.0266,106.4181
0.0088, 14.7481,0.0164,114.6454
0.0096, 41.3205,0.0249,104.1903
0.0104, 27.9539,-0.0304,101.6934
0.0113, 30.3633,-0.0222,95.0753
0.0121, 27.2194,-0.0283,81.8147
0.0129, 25.3815,-0.0142,66.3274
0.0138, 32.4790,-0.0122,53.1537
0.0146, 27.1587,-0.0040,46.9310
0.0154, 30.6249,0.0282,47.9288
0.0163, 30.4381,-0.0053,61.4339
0.0171, 33.6991,0.0151,79.6249
0.0179, 35.1515,0.0221,77.0613
0.0188, 32.6054,0.0068,44.5546
0.0196, 36.6074,-0.0042,26.7737
0.0204, 33.4194,0.0356,24.7061
0.0213, 32.3542,0.0115,27.2391
0.0221, 31.6538,-0.0243,43.1804
0.0229, 32.6422,0.0204,54.2416
0.0238, 32.8094,0.0239,47.2226
0.0246, 30.6168,0.0196,29.3511
0.0254, 32.3607,-0.0525,20.5836
0.0263, 31.0125,-0.0064,20.9588
0.0271, 30.7730,0.0240,21.2696
0.0279, 29.6758,0.0515,22.4606
0.0288, 28.1991,0.0491,18.6150
0.0296, 28.4665,0.1313,8.5474
0.0304, 28.1907,0.0669,3.0203
0.0313, 29.8352,-0.0063,2.8875
0.0321, 30.2203,0.0259,4.4886
0.0329, 30.1248,0.0361,6.1478
0.0338, 29.4602,-0.2001,2.3124
0.0346, 27.4511,-0.2979,-7.7233
0.0354, 28.4053,-0.3252,-15.8499
0.0363, 28.8644,-0.2182,-16.5050
0.0371, 29.3116,-0.2548,-15.1996
0.0379, 29.1844,-0.1709,-14.1231
0.0388, 27.7392,0.2930,-15.9492
0.0396, 27.3023,0.3556,-22.5294
0.0404, 27.9883,0.4285,-23.0373
0.0413, 29.4066,0.4405,-18.7795
0.0421, 29.3639,0.3994,-18.8254
0.0429, 28.9382,0.4760,-22.0377
0.0438, 28.4379,-0.1849,-26.9745
0.0446, 27.4093,-0.2593,-33.7537
0.0454, 28.6346,-0.3669,-34.0151
0.0463, 29.4836,-0.8031,-29.2629
0.0471, 29.7894,-0.7860,-26.7787
0.0479, 29.3067,-0.7053,-27.9461
0.0488, 27.4277,-0.2070,-35.2338
0.0496, 26.7369,-0.1903,-43.8294
0.0504, 27.1563,-0.1317,-45.4358
0.0513, 27.0939,0.7076,-43.8916
0.0521, 26.4185,0.7481,-46.9310
0.0529, 25.9840,0.6792,-52.3428
0.0538, 27.0601,0.6634,-50.1605
0.0546, 27.7286,0.6743,-43.4824
0.0554, 28.0893,0.6545,-39.7557
0.0563, 28.0599,-0.2068,-39.7351
0.0571, 27.1066,-0.1747,-46.0856
0.0579, 26.2855,-0.2038,-55.0952
0.0588, 27.5438,-0.8162,-56.2914
0.0596, 29.2676,-0.8068,-48.1463
0.0604, 29.6653,-0.8568,-38.8075
0.0612, 29.0739,-0.4920,-36.8041
0.0621, 27.8028,-0.4762,-41.4300
0.0629, 26.6110,-0.4558,-51.9600
0.0638, 26.8760,-0.4151,-57.8009
0.0646, 26.6575,0.4438,-57.6461
0.0654, 26.3077,0.4476,-59.3840
0.0663, 26.4691,0.4370,-58.3091
0.0671, 27.8248,0.8659,-48.6383
0.0679, 28.2566,0.8147,-39.6313
0.0688, 28.6119,0.7573,-35.9139
0.0696, 28.1171,0.2207,-39.7301
0.0704, 26.3528,0.2527,-51.8472
0.0713, 25.7346,0.1859,-63.1834
0.0721, 27.1531,-0.6085,-62.0695
0.0729, 29.1620,-0.5489,-50.0205
0.0738, 29.6025,-0.5069,-38.5725
0.0746, 28.8085,-0.6188,-36.7517
0.0754, 27.9052,-0.6942,-40.8971
0.0763, 26.6488,-0.6274,-49.3314
0.0771, 25.8148,-0.1321,-57.9958
0.0779, 25.3367,-0.0573,-62.4429
0.0788, 25.8998,-0.0176,-63.4805
0.0796, 27.3252,0.4325,-55.8813
