t,Fx,Fy,Fz
69,56.5324,-0.0004,-25.3396
207,16.3942,-0.0349,137.8973
345,-25.8875,-0.0010,115.3374
482,-102.9765,-0.0456,184.6944
620,124.7871,-0.0274,101.4811
758,-52.7262,-0.0106,135.7303
895,43.5644,0.0026,117.3365
1033,21.0181,-0.0015,123.7611
1171,38.9976,0.0048,118.4073
1308,56.3439,-0.0300,119.8998
1446,16.6165,0.0185,129.1694
1584,46.5553,0.0281,117.3897
1721,31.4953,-0.0342,114.5765
1859,34.2099,-0.0250,107.1199
1997,30.6677,-0.0319,92.1795
2134,28.5970,-0.0160,74.7301
2272,36.5937,-0.0137,59.8875
2410,30.5994,-0.0045,52.8765
2547,34.5047,0.0317,54.0006
2685,34.2942,-0.0059,69.2167
2823,37.9683,0.0170,89.7122
2960,39.6047,0.0249,86.8239
3098,36.7360,0.0077,50.1990
3236,41.2451,-0.0047,30.1655
3373,37.6531,0.0401,27.8360
3511,36.4530,0.0129,30.6899
3649,35.6639,-0.0274,48.6508
3787,36.7775,0.0230,61.1132
3924,36.9658,0.0270,53.2050
4062,34.4955,0.0221,33.0695
4200,36.4603,-0.0591,23.1912
4337,34.9413,-0.0072,23.6139
4475,34.6715,0.0270,23.9642
4613,33.4353,0.0581,25.3060
4750,31.7715,0.0554,20.9733
4888,32.0728,0.1479,9.6302
5026,31.7620,0.0753,3.4029
5163,33.6149,-0.0071,3.2533
5301,34.0488,0.0292,5.0572
5439,33.9411,0.0407,6.9266
5576,33.1923,-0.2254,2.6053
5714,30.9288,-0.3357,-8.7017
5852,32.0039,-0.3664,-17.8578
5989,32.5211,-0.2459,-18.5959
6127,33.0250,-0.2870,-17.1252
6265,32.8817,-0.1926,-15.9123
6402,31.2533,0.3301,-17.9697
6540,30.7611,0.4007,-25.3836
6678,31.5340,0.4828,-25.9558
6815,33.1320,0.4963,-21.1586
6953,33.0839,0.4500,-21.2103
7091,32.6042,0.5363,-24.8296
7228,32.0406,-0.2084,-30.3918
7366,30.8817,-0.2921,-38.0299
7504,32.2622,-0.4133,-38.3243
7641,33.2188,-0.9049,-32.9701
7779,33.5633,-0.8856,-30.1712
7917,33.0195,-0.7947,-31.4865
8054,30.9024,-0.2332,-39.6975
8192,30.1240,-0.2144,-49.3820
8330,30.5966,-0.1484,-51.1918
8467,30.5264,0.7972,-49.4520
8605,29.7654,0.8429,-52.8765
8743,29.2758,0.7653,-58.9739
8880,30.4882,0.7474,-56.5152
9018,31.2414,0.7597,-48.9910
9156,31.6479,0.7375,-44.7921
9293,31.6147,-0.2330,-44.7690
9431,30.5407,-0.1968,-51.9240
9569,29.6155,-0.2296,-62.0750
9706,31.0332,-0.9196,-63.4227
9844,32.9754,-0.9090,-54.2457
9982,33.4235,-0.9653,-43.7239
10119,32.7571,-0.5544,-41.4667
10257,31.3250,-0.5365,-46.6786
10395,29.9822,-0.5136,-58.5426
10533,30.2808,-0.4677,-65.1234
10670,30.0346,0.5000,-64.9490
10808,29.6405,0.5043,-66.9071
10946,29.8224,0.4924,-65.6960
11083,31.3498,0.9756,-54.8000
11221,31.8364,0.9179,-44.6520
11359,32.2366,0.8532,-40.4636
11496,31.6791,0.2487,-44.7634
11634,29.6913,0.2847,-58.4155
11772,28.9948,0.2094,-71.1878
11909,30.5930,-0.6856,-69.9328
12047,32.8564,-0.6184,-56.3574
12185,33.3527,-0.5711,-43.4591
12322,32.4581,-0.6972,-41.4076
12460,31.4404,-0.7822,-46.0782
12598,30.0248,-0.7069,-55.5810
12735,29.0852,-0.1488,-65.3430
12873,28.5465,-0.0646,-70.3535
13011,29.1809,-0.0198,-71.5225
13148,30.7869,0.4873,-62.9607
13286,32.1896,0.4105,-47.7887
13424,33.3227,0.4335,-36.0467
13561,33.4862,0.4164,-29.8696
13699,32.6380,0.3671,-34.4720
13837,30.5825,0.3622,-48.7544
13974,29.5822,-0.0624,-62.6944
14112,30.1875,-0.0444,-66.8175
14250,31.3619,-0.1143,-59.5073
14387,32.1174,-0.2667,-50.6150
14525,31.6221,-0.3352,-45.9933
14663,31.6499,-0.3527,-44.6438
14800,31.1697,-0.3871,-45.9260
14938,30.1347,-0.3128,-52.2854
15076,29.8413,-0.2052,-60.5054
15213,29.9104,-0.0141,-62.6821
15351,31.5353,-0.1082,-56.8878
15489,32.8822,-0.0380,-44.8152
15626,33.4248,0.1487,-33.3748
15764,33.4706,0.1687,-30.0527
15902,32.3479,0.1466,-34.8835
16039,31.1072,-0.0328,-45.8929
16177,29.3459,-0.0649,-58.8343
16315,29.7634,-0.0133,-64.3610
16452,30.7752,-0.2143,-59.2408
16590,31.1380,-0.2256,-51.8803
16728,31.6654,-0.1037,-46.6821
16865,32.1322,-0.0351,-42.4396
17003,32.1805,-0.0292,-43.2903
17141,30.8658,0.0245,-50.0604
17279,30.4531,-0.0125,-58.6338
17416,31.1261,0.2239,-60.4721
17554,32.7468,0.2378,-50.9133
17692,33.7935,0.1763,-39.5147
17829,32.8193,0.0497,-34.3566
17967,32.7793,-0.0084,-33.6953
18105,31.7698,-0.0020,-38.7446
18242,29.9633,-0.0883,-49.8546
18380,29.2527,-0.1733,-60.4590
18518,29.1284,-0.1036,-61.6108
18655,30.3903,-0.2104,-56.7536
18793,30.5501,-0.1944,-52.3088
18931,31.9194,-0.1775,-45.5780
19068,32.9971,-0.1767,-39.3824
19206,31.9035,-0.1190,-41.6861
19344,31.0637,-0.1804,-49.8599
19481,29.9874,-0.0247,-58.9127
19619,30.7492,-0.0948,-62.8077
19757,32.0681,-0.0480,-55.3719
19894,32.4339,0.0807,-46.3635
20032,32.9770,0.0825,-40.0473
20170,32.6159,-0.0308,-36.4072
20307,31.8207,0.1047,-38.4866
20445,30.4352,0.1095,-46.4368
20583,29.1267,0.1045,-58.2519
20720,28.6209,0.1671,-65.9685
20858,29.2143,0.2917,-64.7490
20996,31.3643,0.1582,-54.3589
21133,33.0878,-0.0665,-40.0953
21271,33.2602,-0.0354,-33.5427
21409,32.4017,-0.0254,-34.5267
21546,31.4671,-0.1346,-43.4734
21684,30.3514,-0.1551,-56.5761
21822,29.7411,-0.0754,-64.8135
21959,30.2028,-0.0936,-66.3615
22097,31.8294,-0.1416,-57.4716
22235,33.9511,-0.1307,-41.8456
22372,33.8536,0.0075,-31.2261
22510,33.0342,0.0038,-29.2141
22648,32.3435,0.1071,-36.0406
22785,29.9940,0.2007,-49.0486
22923,28.9148,0.1257,-62.9110
23061,29.0195,0.1545,-65.7146
23198,30.3400,0.0694,-58.7173
23336,32.6499,0.0742,-45.5123
23474,33.6416,0.1416,-30.3062
23611,33.9859,0.1184,-25.1757
23749,32.3037,-0.0494,-32.5521
23887,30.7501,-0.0876,-47.3140
24024,29.5172,-0.2143,-61.8018
24162,29.7928,-0.2891,-65.6240
24300,31.3170,-0.2970,-58.5095
