t,Fx,Fy,Fz
24438,32.0666,-0.2850,-47.7521
24575,32.9426,-0.1892,-38.3223
24713,33.1443,-0.1382,-31.3305
24851,32.7203,-0.2100,-33.1299
24988,31.0393,0.0448,-43.9395
25126,29.3184,0.1509,-57.1615
25264,29.4060,0.1807,-65.1444
25401,31.0094,0.2472,-58.5326
25539,33.2000,0.1748,-42.9706
25677,33.4379,0.2067,-31.8667
25814,33.3833,-0.0174,-27.1517
25952,32.7321,-0.0868,-31.5622
26090,30.9489,-0.0856,-43.4915
26227,29.7665,-0.1583,-57.5348
26365,28.9458,-0.1898,-66.3521
26503,30.3200,-0.2181,-63.8796
26640,32.8562,0.0929,-49.1570
26778,34.0529,0.1285,-31.8126
26916,35.0941,0.1667,-21.8793
27053,34.0658,0.2656,-22.0623
27191,33.1795,0.3247,-32.6675
27329,31.2502,0.3106,-46.0518
27466,29.3610,0.1306,-57.7765
27604,30.2119,0.1239,-59.2089
27742,31.6980,0.1350,-47.4766
27879,33.3631,-0.2453,-32.5343
28017,33.4090,-0.3247,-22.8455
28155,33.1057,-0.2533,-22.7864
28292,32.2644,-0.2980,-30.4927
28430,30.2248,-0.3337,-43.5579
28568,28.8587,-0.3555,-57.7655
28705,29.4427,-0.0975,-61.2649
28843,31.2684,-0.0271,-52.4930
28981,32.8480,-0.0262,-38.0825
29118,33.6393,0.3354,-27.1950
29256,33.6990,0.3688,-25.2641
29394,32.5871,0.4136,-30.9010
29531,30.6930,0.2424,-44.1015
29669,28.8131,0.2526,-59.7548
29807,29.5266,0.1469,-64.3640
29944,30.8291,-0.3792,-55.4368
30082,31.7879,-0.2592,-42.9880
30220,32.8948,-0.3461,-33.6320
30357,33.0734,-0.4879,-26.8749
30495,32.3982,-0.4503,-30.2677
30633,30.6700,-0.5043,-43.0215
30770,29.1372,-0.0893,-57.5862
30908,28.9949,-0.0191,-66.8872
31046,29.9877,-0.0243,-63.4319
31184,31.9182,-0.0154,-51.6977
31321,33.7114,0.4560,-38.1079
31459,34.4659,0.4893,-28.5791
31597,33.0640,0.3832,-30.3272
31734,31.5467,0.2992,-41.7534
31872,30.0059,0.4268,-56.1583
32010,29.1835,0.4009,-65.4175
32147,29.7821,-0.0391,-64.7000
32285,31.1785,0.0182,-54.8553
32423,32.8500,0.0396,-41.0660
32560,33.6099,-0.2854,-29.8677
32698,33.1668,-0.3400,-24.8377
32836,32.0811,-0.2191,-33.2498
32973,30.3472,-0.3923,-49.2674
33111,28.8312,-0.3319,-65.2930
33249,29.1990,-0.2661,-69.6731
33386,31.8322,-0.1033,-58.5560
33524,34.1869,-0.1684,-40.7047
33662,34.5099,-0.1229,-27.0817
33799,34.3174,0.1320,-23.4436
33937,32.4598,0.0340,-31.8231
34075,30.7679,-0.0155,-48.8988
34212,28.9579,0.1010,-65.1284
34350,29.3294,0.1324,-68.1792
34488,31.7653,0.1699,-56.5685
34625,33.0031,0.0273,-39.0114
34763,33.8954,0.0685,-26.5034
34901,33.8248,0.0005,-20.8589
35038,32.8459,-0.2547,-25.1124
35176,31.6308,-0.2361,-39.3075
35314,29.3830,-0.2371,-55.0295
35451,29.7144,-0.3882,-62.6565
35589,30.8026,-0.4218,-56.1508
35727,32.3126,-0.3913,-44.4923
35864,33.5917,-0.0415,-33.5240
36002,33.5114,0.0574,-26.8689
36140,33.4037,0.0163,-29.3490
36277,31.6683,0.2918,-39.8803
36415,29.7183,0.2602,-55.6236
36553,28.6221,0.3702,-66.8976
36690,29.8111,0.3495,-63.3694
36828,32.1937,0.3070,-48.8443
36966,33.3546,0.2785,-33.9816
37103,33.9046,-0.0538,-24.2942
37241,33.4743,-0.0804,-22.6168
37379,32.5257,-0.0313,-32.0942
37516,30.8084,-0.3152,-46.0289
37654,29.1588,-0.2829,-58.9919
37792,29.8789,-0.2806,-61.1606
37930,30.8319,-0.2308,-52.1070
38067,33.3136,-0.2004,-37.1570
38205,33.8069,-0.1739,-24.5244
38343,33.6828,-0.1116,-22.8154
38480,32.9388,0.0435,-31.4590
38618,30.7606,0.0347,-46.0376
38756,29.2005,0.1206,-62.4677
38893,29.3442,0.2607,-67.5235
39031,31.4767,0.1500,-56.9556
39169,33.5811,0.1720,-38.7010
39306,34.0967,-0.0536,-23.7637
39444,33.7781,-0.0988,-20.4518
39582,32.5265,-0.0644,-28.0028
39719,30.8812,-0.2148,-42.6320
39857,28.5360,-0.2903,-59.9466
39995,29.0336,-0.2484,-67.0595
40132,31.1195,-0.1896,-57.1569
40270,32.2019,-0.2410,-42.0286
40408,33.0411,-0.3191,-32.3115
40545,33.3446,-0.0745,-27.2885
40683,32.8047,-0.0695,-30.7863
40821,31.0957,-0.1059,-43.3471
40958,29.1822,0.2037,-59.5564
41096,29.2836,0.2518,-68.5769
41234,30.8989,0.1257,-61.4403
