t,Fx,Fy,Fz
20254,38.1231,-0.4580,-64.5331
20376,36.4252,0.0187,-78.2338
20499,37.4983,-0.0247,-80.5220
20621,38.2030,-0.3169,-73.8003
20743,38.6626,0.2120,-68.8453
20866,39.9389,-0.4626,-58.8553
20988,40.3674,-0.0997,-52.2523
21110,38.4337,0.3302,-56.6849
21233,36.8540,-0.2986,-68.2665
21355,36.6979,0.0743,-78.5527
21478,37.5385,-0.2735,-77.2206
21600,40.6204,-0.2456,-65.5393
21722,42.3117,0.0893,-49.7541
21845,42.8793,-0.3468,-35.9279
21967,42.9863,-0.1281,-34.2102
22089,41.1095,0.3168,-41.2898
22212,39.8285,-0.2524,-52.6846
22334,37.3936,0.1725,-68.8024
22457,36.2149,-0.2372,-80.0137
22579,37.6581,-0.2243,-80.3972
22701,39.4950,0.1517,-66.6481
22824,42.4703,-0.2231,-47.2782
22946,41.9966,0.1037,-37.3640
23069,40.9648,-0.1068,-38.1425
23191,39.2873,-0.1626,-51.2441
23313,35.8685,0.2055,-69.9630
23436,36.4208,-0.3703,-82.5502
23558,37.3399,0.1052,-82.0007
23680,39.8280,0.0526,-65.6847
23803,42.3043,-0.3046,-48.5551
23925,41.1282,0.0726,-39.4848
24048,42.2776,-0.2894,-34.3197
24170,40.0171,0.1682,-43.7692
24292,37.7123,0.1431,-60.2141
24415,37.2774,-0.1031,-75.4640
24537,36.8313,0.1710,-80.0950
24659,40.1024,-0.1480,-66.2708
24782,41.2666,0.2325,-51.5884
24904,42.1765,-0.0937,-38.4041
25027,43.2933,0.1171,-29.9939
25149,40.2039,0.1883,-38.1562
25271,39.0700,-0.0886,-53.2294
25394,36.9775,0.1247,-69.3963
25516,36.4752,0.0010,-76.9957
25638,38.7890,-0.3924,-71.1236
25761,39.7990,-0.0135,-57.7164
25883,42.6207,-0.1455,-39.3144
26006,43.1369,-0.0575,-27.9514
26128,41.3990,0.1437,-29.3973
26250,40.6882,-0.4351,-40.1232
26373,37.6021,0.1250,-58.3495
26495,36.2440,0.0212,-73.2321
26617,37.8512,-0.3490,-75.1208
26740,39.6090,0.1451,-62.1547
26862,41.8402,-0.2368,-42.2911
