0.0004,-11.7148,-1.1289
0.0013,9.4985,4.8179
0.0021,-3.8031,5.4184
0.0029,-0.3004,2.5108
0.0038,1.8061,4.4133
0.0046,-1.6844,4.7522
0.0054,2.8529,3.5349
0.0063,0.1001,5.4844
0.0071,0.7347,4.3826
0.0079,1.4151,4.3298
0.0088,1.1767,4.4898
0.0096,1.5051,4.0963
0.0104,1.0141,4.0772
0.0113,1.1143,3.7516
0.0121,1.2252,3.2356
0.0129,1.1606,2.7159
0.0138,1.2648,2.1555
0.0146,1.1065,1.9102
0.0154,1.2762,1.9153
0.0163,1.2700,2.2718
0.0171,1.2921,2.7843
0.0179,1.4004,2.7547
0.0188,1.3490,2.0424
0.0196,1.4511,1.3081
0.0204,1.3966,1.1120
0.0213,1.3134,1.2948
0.0221,1.3278,1.6774
0.0229,1.2867,1.9863
0.0238,1.3489,1.8313
0.0246,1.3033,1.2072
0.0254,1.2621,0.7829
0.0263,1.2926,0.7521
0.0271,1.2128,0.8325
0.0279,1.2366,0.9487
0.0288,1.1787,0.8247
0.0296,1.1325,0.5166
0.0304,1.1663,0.2070
0.0313,1.1412,-0.0050
0.0321,1.2093,0.1207
0.0329,1.1947,0.1220
0.0338,1.1336,0.0137
0.0346,1.1338,-0.1890
0.0354,1.0783,-0.6047
0.0363,1.1754,-0.5511
0.0371,1.1929,-0.4385
0.0379,1.1542,-0.5635
0.0388,1.1693,-0.6639
0.0396,1.0992,-0.9472
0.0404,1.1156,-1.0589
0.0413,1.1999,-0.8368
0.0421,1.1541,-0.7476
0.0429,1.2059,-0.7154
0.0438,1.1737,-0.9271
0.0446,1.1034,-1.2690
0.0454,1.1223,-1.5011
0.0463,1.1363,-1.5085
0.0471,1.1928,-1.2357
0.0479,1.1881,-1.1721
0.0488,1.1130,-1.3853
0.0496,1.0979,-1.6375
0.0504,1.0854,-1.8382
0.0513,1.1326,-1.7019
0.0521,1.1380,-1.6074
0.0529,1.0506,-1.8613
0.0538,1.0930,-2.0061
0.0546,1.1235,-1.8855
0.0554,1.1684,-1.5918
0.0563,1.1753,-1.4863
0.0571,1.1187,-1.6187
0.0579,1.0856,-1.8609
0.0588,1.0426,-2.2272
0.0596,1.0781,-2.2088
0.0604,1.1800,-1.7613
0.0613,1.1542,-1.5468
0.0621,1.1245,-1.6979
0.0629,1.0755,-2.0067
0.0638,1.0647,-2.1948
0.0646,1.1253,-2.1216
0.0654,1.1125,-2.0207
0.0663,1.0558,-2.1516
0.0671,1.0458,-2.3445
0.0679,1.0803,-2.2219
0.0688,1.1384,-1.8707
0.0696,1.1669,-1.5957
0.0704,1.1322,-1.6290
0.0713,1.0856,-1.8849
0.0721,1.0812,-2.1300
0.0729,1.1335,-2.0206
0.0738,1.1869,-1.5992
0.0746,1.1572,-1.4955
0.0754,1.1183,-1.6424
0.0763,1.0704,-1.9430
0.0771,1.0597,-2.1906
0.0779,1.1145,-2.0747
0.0788,1.1061,-1.9925
0.0796,1.0527,-2.1251
0.0804,1.0818,-2.1321
0.0813,1.1361,-1.8330
0.0821,1.1847,-1.3914
