t,Fx,Fy,Fz
0.0004, 511.0912,-0.0003,-61.3392
0.0013, -238.8406,0.0225,163.0712
0.0021, 1.4141,-0.0034,108.9925
0.0029, 27.3612,0.0718,118.8503
0.0038, -62.6970,0.0422,125.9379
0.0046, 16.1419,0.0047,101.4666
0.0054, 38.2434,-0.0049,102.9250
0.0063, -8.0367,0.0191,117.3008
0.0071, 54.9666,0.0082,100.5247
0.0079, 31.6284,-0.0064,102.8966
0.0088, 27.1216,-0.0167,105.5505
0.0096, 38.2727,-0.0311,97.7809
0.0104, 22.4317,-0.0090,97.5986
0.0113, 27.5000,0.0209,87.5153
0.0121, 32.2649,-0.0222,72.7519
0.0129, 25.6060,-0.0303,60.9426
0.0138, 27.8895,-0.0304,51.4267
0.0146, 29.4615,-0.0215,50.0898
0.0154, 28.5185,-0.0306,62.7277
0.0163, 34.0787,0.0133,82.6264
0.0171, 33.7519,-0.0085,83.9063
0.0179, 32.6908,-0.0109,50.6203
0.0188, 35.1019,-0.0073,31.8994
0.0196, 33.0497,-0.0126,32.1614
0.0204, 31.5850,-0.0652,40.6371
0.0213, 32.5920,-0.0551,56.9410
0.0221, 31.5426,-0.0131,63.6357
0.0229, 30.6572,0.0283,48.2515
0.0238, 30.6034,-0.0634,32.3692
0.0246, 29.9373,-0.0034,30.7056
0.0254, 30.6638,0.0386,32.7183
0.0263, 30.3422,-0.1263,36.0190
0.0271, 29.2874,0.2678,36.1967
0.0279, 28.7402,-0.3103,26.2494
0.0288, 27.2122,0.4623,13.5383
0.0296, 27.7289,-0.6424,11.3777
0.0304, 29.1354,0.4809,17.0309
0.0313, 29.5195,-0.6591,21.9128
0.0321, 29.9967,0.4399,23.8682
0.0329, 29.4699,-0.6913,18.1880
0.0338, 27.6005,-0.0255,4.7923
0.0346, 27.1057,0.8728,-6.4146
0.0354, 28.7193,-0.4803,-5.7511
0.0363, 29.4905,1.1522,1.8313
0.0371, 29.6936,-1.0960,4.8229
0.0379, 28.7187,1.3235,2.9539
0.0388, 27.7987,-1.1664,-3.1752
0.0396, 28.1828,1.4028,-8.9704
0.0404, 28.5899,-0.8775,-10.1384
0.0413, 28.9823,1.3610,-9.9129
0.0421, 29.0370,-0.4618,-11.4358
0.0429, 27.4312,1.1936,-15.7130
0.0438, 27.1458,-0.4728,-21.0583
0.0446, 27.6059,0.4986,-21.4396
0.0454, 29.2358,-0.7512,-16.9406
0.0463, 30.1015,-0.3169,-15.0724
0.0471, 29.7228,-0.6919,-16.5883
0.0479, 27.5872,-0.4125,-22.5215
0.0488, 26.1415,-0.1713,-33.0419
0.0496, 25.9351,0.1291,-38.1056
0.0504, 26.9533,0.5997,-33.9102
0.0513, 27.4787,0.5050,-32.6036
0.0521, 26.6214,1.0387,-34.9357
0.0529, 26.3204,0.4714,-38.4587
0.0538, 26.9568,0.8282,-39.0534
0.0546, 28.0945,-0.0347,-35.2134
0.0554, 28.3730,-1.2894,-35.0144
0.0563, 27.7785,-0.5035,-39.5416
0.0571, 25.9694,-1.6177,-46.4807
0.0579, 26.1967,-0.1450,-49.6459
0.0588, 26.4065,-1.2488,-45.7805
0.0596, 27.6033,0.9497,-37.9211
0.0604, 27.5767,-0.8971,-34.7358
0.0613, 26.5413,1.9471,-38.4510
0.0621, 25.3317,-1.2230,-48.1588
0.0629, 26.5776,2.5148,-53.8315
0.0638, 27.5247,-2.2454,-49.0870
0.0646, 28.0993,2.1739,-45.5274
0.0654, 27.2485,-3.3632,-48.9470
0.0663, 26.2281,2.2243,-52.2643
0.0671, 27.5027,-3.9278,-48.2029
0.0679, 28.5312,2.9991,-39.5880
0.0688, 28.1608,-3.6711,-37.2598
0.0696, 26.7620,3.9512,-44.0745
0.0704, 24.9917,-2.4142,-54.4110
0.0713, 24.4966,4.6032,-60.5560
0.0721, 26.7850,-2.8106,-55.6319
0.0729, 27.8418,4.2335,-46.7336
0.0738, 28.4828,-3.7693,-41.8629
0.0746, 27.7871,3.6912,-44.6534
0.0754, 26.4262,-4.0512,-50.5491
0.0763, 27.3766,3.3241,-51.9437
0.0771, 27.6184,-3.7737,-48.2500
0.0779, 26.6102,2.2818,-48.4357
0.0788, 25.7317,-3.2092,-53.3733
0.0796, 25.3923,2.6388,-55.7519
0.0804, 26.7989,-2.8197,-46.7243
0.0813, 28.4149,2.3684,-36.4189
0.0821, 27.8917,-2.8596,-35.3502
0.0829, 27.1531,1.6182,-41.4972
0.0838, 26.3853,-3.1552,-49.8350
0.0846, 26.2144,0.8002,-53.1994
0.0854, 27.2234,0.0408,-49.5757
0.0863, 28.1082,0.7110,-43.6133
0.0871, 27.4291,0.6650,-41.6969
0.0879, 26.4566,0.9653,-44.8629
0.0888, 26.3056,1.3108,-47.7491
0.0896, 27.1473,0.9520,-43.1985
0.0904, 27.5584,1.6904,-40.9178
0.0913, 26.3584,0.8280,-44.9379
0.0921, 25.6191,1.8287,-50.3633
0.0929, 26.5402,-3.5793,-49.9281
0.0938, 27.8233,1.7149,-41.0261
0.0946, 28.6581,-3.9043,-34.1435
0.0954, 28.3916,1.8323,-34.8721
0.0963, 26.9349,-3.9566,-41.4716
0.0971, 25.8992,2.2597,-50.9143
0.0979, 25.9531,-3.9504,-55.2417
0.0988, 26.9137,2.7292,-50.0788
0.0996, 27.4548,-4.0764,-44.6989
0.1004, 26.9836,5.1973,-43.4150
0.1013, 26.4722,-4.2347,-43.5430
0.1021, 28.1341,5.0920,-37.3586
0.1029, 28.3680,-4.6753,-31.0236
0.1038, 28.3489,4.8686,-33.4304
0.1046, 27.7715,-5.0034,-39.7028
0.1054, 26.2771,4.9127,-48.2946
0.1063, 26.6975,-5.0895,-51.4570
0.1071, 27.8715,5.2250,-44.1551
0.1079, 28.0941,-4.4587,-37.0763
0.1088, 28.2965,5.4281,-35.9650
0.1096, 27.1723,-4.3714,-39.2736
0.1104, 26.3885,5.4132,-44.4639
0.1113, 26.9180,-4.4206,-44.8978
0.1121, 26.9779,5.0868,-43.1226
0.1129, 26.7303,-4.5726,-43.1585
0.1138, 26.9089,4.8529,-43.9354
0.1146, 28.0601,-4.2711,-36.5908
0.1154, 28.5665,2.5251,-28.8194
0.1163, 28.8521,-3.8818,-28.5472
0.1171, 27.8768,2.3655,-32.1169
0.1179, 27.1584,-3.1918,-40.6955
0.1188, 25.7167,1.9230,-49.6837
0.1196, 25.7303,-3.0035,-52.0559
0.1204, 27.1119,1.1598,-46.5040
0.1213, 27.4508,-3.1685,-39.6666
0.1221, 26.8336,0.8282,-39.6634
0.1229, 26.6913,0.8774,-43.7478
0.1238, 26.5248,0.6854,-43.5505
0.1246, 27.0248,1.4760,-43.7649
0.1254, 26.8368,0.6150,-45.5462
0.1263, 26.0001,2.0057,-49.9371
0.1271, 26.1019,0.4851,-52.6774
0.1279, 27.6326,2.1294,-45.2258
0.1288, 28.1582,-4.0439,-35.4283
0.1296, 28.9662,1.9140,-31.0238
0.1304, 28.5071,-4.3648,-32.6403
0.1313, 26.9593,2.1006,-40.9701
0.1321, 25.7769,-4.1546,-52.0023
0.1329, 25.6258,2.7633,-55.5654
0.1338, 26.6363,-3.9876,-50.7029
0.1346, 26.9405,3.3914,-46.9256
0.1354, 26.4586,-4.1193,-46.5367
0.1363, 26.4293,5.0595,-46.6111
0.1371, 27.2879,-4.5687,-45.1977
0.1379, 27.3766,4.6692,-42.4245
0.1388, 27.1904,-5.0488,-45.1547
0.1396, 25.9623,4.4280,-51.5942
0.1404, 26.0017,-5.3254,-53.3795
0.1413, 27.0722,4.7336,-46.9809
0.1421, 28.1325,-5.1426,-35.8625
0.1429, 28.1336,5.1756,-31.3695
0.1438, 28.4416,-3.4905,-33.0815
0.1446, 27.0674,5.1642,-40.4768
0.1454, 26.1780,-3.4508,-50.2249
0.1463, 26.1753,4.7436,-54.8011
0.1471, 26.3794,-3.7686,-53.1336
0.1479, 26.5064,4.0807,-51.0792
0.1488, 26.7370,-3.8108,-48.4972
0.1496, 28.1174,3.7324,-37.6630
0.1504, 28.7488,-3.3919,-29.2551
0.1513, 28.1784,1.4505,-30.6000
0.1521, 27.1794,-2.4516,-37.3931
0.1529, 25.8548,1.3746,-48.3328
0.1538, 25.1915,-1.6886,-55.7461
0.1546, 26.2631,0.8440,-52.3190
0.1554, 27.8532,-1.5675,-43.9394
0.1563, 28.2879,-0.0924,-36.7218
0.1571, 28.6365,-1.7805,-34.1311
0.1579, 27.7374,-0.6424,-37.0165
0.1588, 26.3030,1.6799,-45.4025
0.1596, 25.6091,-1.0496,-52.8374
0.1604, 25.2436,2.4690,-57.8468
0.1613, 25.6763,-0.9103,-55.1416
0.1621, 28.5208,3.1171,-41.4765
0.1629, 28.6895,-0.6470,-28.9186
0.1638, 29.2679,3.3230,-24.9821
0.1646, 29.1239,-0.9124,-27.3550
0.1654, 28.0029,2.8700,-35.9086
0.1663, 26.2829,-4.2126,-48.7724
0.1671, 25.9468,2.6125,-57.2983
0.1679, 25.9205,-4.3455,-56.1744
0.1688, 27.6257,2.7686,-47.2124
0.1696, 28.7084,-4.0306,-35.3301
0.1704, 28.8931,3.3339,-27.8900
0.1713, 28.8012,-3.5722,-29.0665
0.1721, 27.7109,3.6237,-36.5979
0.1729, 26.2682,-3.4187,-47.5426
0.1738, 25.1995,3.7261,-56.2010
0.1746, 25.7015,-3.6750,-55.2150
0.1754, 26.6274,3.1832,-46.1891
0.1763, 28.4430,-4.1277,-34.3463
0.1771, 29.0120,2.9794,-23.0400
0.1779, 29.7631,-4.1866,-18.7822
0.1788, 29.1255,2.7671,-24.1757
0.1796, 27.6824,-3.7795,-35.5709
0.1804, 26.3313,2.8998,-47.4999
0.1813, 25.4823,-0.9852,-54.1169
0.1821, 26.2863,2.7864,-48.4583
0.1829, 27.8413,-0.7390,-36.5482
0.1838, 28.5013,2.4512,-27.0669
0.1846, 28.8646,-0.8200,-22.9662
0.1854, 28.5161,1.6103,-27.5050
0.1863, 26.9723,-0.6984,-37.7250
0.1871, 25.4217,0.8231,-49.1670
0.1879, 25.1812,-0.1732,-55.2436
0.1888, 26.3367,-1.4587,-49.3646
0.1896, 28.3044,0.5576,-36.5267
0.1904, 29.3787,-1.3340,-23.5914
0.1913, 29.5482,1.2106,-18.5948
0.1921, 29.6674,-1.6154,-20.9759
0.1929, 28.2622,1.5769,-31.1500
0.1938, 26.5327,-2.0833,-43.5669
0.1946, 25.5499,1.6973,-52.5502
0.1954, 25.4993,-2.8420,-52.2191
0.1963, 26.6422,2.4866,-42.7193
0.1971, 28.7087,-3.0617,-29.5407
0.1979, 29.1110,2.8679,-19.9174
0.1988, 29.1822,-2.7882,-21.2627
0.1996, 27.9366,3.1748,-30.8427
0.2004, 25.6965,-2.2824,-44.5524
0.2013, 24.7162,3.0287,-55.7717
0.2021, 25.1044,-2.1522,-54.9787
0.2029, 27.2505,2.7470,-42.5172
0.2038, 28.5780,-2.0041,-28.5077
0.2046, 29.1317,2.0270,-18.9613
0.2054, 29.4137,-1.9124,-16.4042
0.2063, 29.2606,1.5907,-22.3081
0.2071, 27.6550,-1.2292,-33.0253
0.2079, 26.0004,1.4208,-44.7623
0.2088, 25.3657,-0.3468,-51.2631
0.2096, 26.2260,1.6046,-44.4427
0.2104, 27.9323,0.2385,-32.6006
0.2113, 29.3369,-0.2853,-21.3348
0.2121, 29.4514,0.3101,-17.0263
0.2129, 29.1320,-1.0937,-23.5038
0.2138, 27.5354,0.1883,-34.5140
0.2146, 25.6343,-1.7609,-46.3529
0.2154, 25.2768,0.3074,-52.9100
0.2163, 25.5813,-1.9385,-49.4824
0.2171, 27.7375,2.3837,-36.5948
0.2179, 28.7507,-1.7645,-23.2244
0.2188, 29.0295,2.7428,-18.4813
0.2196, 29.3048,-1.4509,-21.4400
0.2204, 28.8017,2.6031,-29.1765
0.2213, 26.9698,-1.6523,-38.9574
0.2221, 25.7456,2.1055,-48.1548
0.2229, 25.7984,-2.0957,-48.7453
0.2238, 27.7555,1.8767,-37.0542
0.2246, 28.9397,-2.0895,-25.1693
0.2254, 29.2118,1.7567,-19.8980
0.2263, 28.7290,-1.5605,-22.2278
0.2271, 28.2651,1.9582,-29.6455
0.2279, 26.1108,-0.8775,-41.0128
0.2288, 25.1503,2.1138,-51.9339
0.2296, 25.7751,-0.4935,-51.9251
0.2304, 26.9165,2.0578,-43.0802
0.2313, 27.7970,-0.7060,-35.0459
0.2321, 28.2399,-0.3415,-29.9944
0.2329, 28.5364,-0.9655,-27.5098
0.2338, 28.2352,-0.6452,-31.8450
0.2346, 26.5079,-0.8523,-41.7225
0.2354, 24.7337,-0.5297,-53.2842
0.2363, 25.7391,-0.3468,-55.4129
0.2371, 27.3912,-0.3086,-43.7856
0.2379, 28.5282,-0.0962,-32.7300
0.2388, 28.3799,-0.3056,-28.0655
0.2396, 28.3645,1.5826,-27.8794
0.2404, 28.2406,-0.6007,-32.9560
0.2413, 27.2649,1.2784,-42.7660
0.2421, 25.3539,-1.1195,-53.9997
0.2429, 25.5964,1.2615,-58.2144
0.2438, 26.0586,-1.4016,-52.7875
0.2446, 27.3651,1.4971,-42.9395
0.2454, 28.9074,-1.2961,-30.9250
0.2463, 29.0471,1.9387,-24.2831
0.2471, 28.7939,-1.6964,-26.6085
0.2479, 27.9372,2.0393,-36.1059
0.2488, 26.0302,-1.8412,-48.3166
0.2496, 25.2899,1.9957,-57.1188
