t,Fx,Fy,Fz
76,531.9594,-0.0003,-63.8438
226,-248.5926,0.0234,169.7295
377,1.4719,-0.0035,113.4428
527,28.4784,0.0747,123.7030
678,-65.2569,0.0440,131.0800
829,16.8010,0.0049,105.6096
979,39.8049,-0.0051,107.1275
1130,-8.3648,0.0198,122.0903
1280,57.2109,0.0085,104.6292
1431,32.9198,-0.0066,107.0979
1581,28.2290,-0.0174,109.8601
1732,39.8354,-0.0324,101.7734
1882,23.3476,-0.0094,101.5836
2033,28.6228,0.0218,91.0886
2184,33.5823,-0.0231,75.7224
2334,26.6515,-0.0315,63.4310
2485,29.0283,-0.0317,53.5265
2635,30.6644,-0.0224,52.1350
2786,29.6830,-0.0319,65.2889
2936,35.4701,0.0139,86.0001
3087,35.1300,-0.0089,87.3322
3237,34.0256,-0.0113,52.6871
3388,36.5351,-0.0076,33.2019
3539,34.3991,-0.0131,33.4746
3689,32.8747,-0.0679,42.2963
3840,33.9227,-0.0573,59.2659
3990,32.8305,-0.0137,66.2340
4141,31.9090,0.0295,50.2217
4291,31.8530,-0.0660,33.6908
4442,31.1596,-0.0036,31.9593
4592,31.9158,0.0401,34.0542
4743,31.5811,-0.1314,37.4897
4894,30.4833,0.2787,37.6746
5044,29.9137,-0.3229,27.3212
5195,28.3232,0.4811,14.0910
5345,28.8610,-0.6686,11.8423
5496,30.3250,0.5006,17.7263
5646,30.7248,-0.6860,22.8076
5797,31.2215,0.4579,24.8428
5947,30.6732,-0.7195,18.9307
6098,28.7275,-0.0265,4.9879
6249,28.2125,0.9084,-6.6765
6399,29.8920,-0.5000,-5.9859
6550,30.6946,1.1992,1.9060
6700,30.9060,-1.1408,5.0198
6851,29.8913,1.3776,3.0745
7001,28.9337,-1.2140,-3.3048
7152,29.3335,1.4600,-9.3367
7302,29.7572,-0.9134,-10.5524
7453,30.1657,1.4166,-10.3177
7604,30.2226,-0.4807,-11.9027
7754,28.5512,1.2424,-16.3546
7905,28.2541,-0.4921,-21.9182
8055,28.7331,0.5190,-22.3150
8206,30.4295,-0.7818,-17.6323
8356,31.3306,-0.3299,-15.6879
8507,30.9364,-0.7201,-17.2657
8658,28.7136,-0.4293,-23.4411
8808,27.2089,-0.1783,-34.3910
8959,26.9940,0.1343,-39.6615
9109,28.0539,0.6242,-35.2948
9260,28.6007,0.5256,-33.9349
9410,27.7084,1.0811,-36.3622
9561,27.3951,0.4907,-40.0289
9711,28.0575,0.8620,-40.6480
9862,29.2417,-0.0361,-36.6512
10013,29.5315,-1.3421,-36.4440
10163,28.9127,-0.5240,-41.1561
10314,27.0297,-1.6838,-48.3785
10464,27.2663,-0.1509,-51.6730
10615,27.4846,-1.2997,-47.6497
10765,28.7304,0.9885,-39.4695
10916,28.7027,-0.9338,-36.1541
11066,27.6250,2.0266,-40.0210
11217,26.3660,-1.2729,-50.1252
11368,27.6628,2.6174,-56.0295
11518,28.6485,-2.3371,-51.0913
11669,29.2466,2.2627,-47.3864
11819,28.3611,-3.5005,-50.9455
11970,27.2990,2.3151,-54.3983
12120,28.6256,-4.0882,-50.1711
12271,29.6962,3.1216,-41.2044
12421,29.3106,-3.8210,-38.7812
12572,27.8547,4.1125,-45.8741
12723,26.0121,-2.5128,-56.6326
12873,25.4969,4.7911,-63.0285
13024,27.8787,-2.9254,-57.9034
13174,28.9786,4.4063,-48.6418
13325,29.6458,-3.9232,-43.5722
13475,28.9216,3.8419,-46.4766
13626,27.5052,-4.2166,-52.6130
13776,28.4945,3.4598,-54.0646
13927,28.7461,-3.9277,-50.2201
14078,27.6967,2.3750,-50.4133
14228,26.7823,-3.3403,-55.5526
14379,26.4291,2.7465,-58.0283
14529,27.8932,-2.9348,-48.6321
14680,29.5751,2.4651,-37.9059
14830,29.0305,-2.9764,-36.7936
14981,28.2618,1.6843,-43.1916
15131,27.4626,-3.2840,-51.8698
15282,27.2848,0.8329,-55.3715
15433,28.3350,0.0425,-51.5999
15583,29.2559,0.7401,-45.3940
15734,28.5491,0.6922,-43.3994
15884,27.5368,1.0047,-46.6947
16035,27.3797,1.3643,-49.6987
16185,28.2557,0.9909,-44.9624
16336,28.6837,1.7594,-42.5885
16486,27.4346,0.8618,-46.7728
16637,26.6651,1.9034,-52.4196
16788,27.6238,-3.7255,-51.9667
16938,28.9594,1.7850,-42.7012
17089,29.8282,-4.0637,-35.5376
17239,29.5509,1.9071,-36.2959
17390,28.0347,-4.1181,-43.1650
17540,26.9567,2.3520,-52.9932
17691,27.0128,-4.1117,-57.4972
17841,28.0126,2.8406,-52.1236
17992,28.5758,-4.2428,-46.5240
18143,28.0854,5.4096,-45.1877
18293,27.5531,-4.4076,-45.3209
18444,29.2829,5.2999,-38.8840
18594,29.5263,-4.8661,-32.2903
18745,29.5064,5.0674,-34.7953
18895,28.9055,-5.2077,-41.3239
19046,27.3500,5.1133,-50.2665
19196,27.7876,-5.2973,-53.5580
19347,29.0096,5.4384,-45.9580
19498,29.2412,-4.6408,-38.5902
19648,29.4519,5.6498,-37.4335
19799,28.2817,-4.5499,-40.8771
19949,27.4659,5.6342,-46.2794
20100,28.0171,-4.6010,-46.7310
20250,28.0795,5.2945,-44.8833
20401,27.8217,-4.7593,-44.9207
20551,28.0077,5.0510,-45.7293
20702,29.2058,-4.4455,-38.0848
20853,29.7329,2.6282,-29.9961
21003,30.0301,-4.0403,-29.7128
21154,29.0150,2.4620,-33.4283
21304,28.2673,-3.3221,-42.3571
21455,26.7667,2.0015,-51.7124
21605,26.7809,-3.1261,-54.1814
21756,28.2189,1.2071,-48.4028
21906,28.5717,-3.2978,-41.2862
22057,27.9293,0.8621,-41.2829
22208,27.7811,0.9132,-45.5340
22358,27.6078,0.7134,-45.3287
22509,28.1282,1.5363,-45.5519
22659,27.9325,0.6401,-47.4058
22810,27.0617,2.0876,-51.9760
22960,27.1677,0.5049,-54.8283
23111,28.7609,2.2163,-47.0724
23262,29.3079,-4.2090,-36.8749
23412,30.1489,1.9922,-32.2906
23563,29.6711,-4.5430,-33.9730
23713,28.0601,2.1864,-42.6429
23864,26.8294,-4.3242,-54.1255
24014,26.6722,2.8761,-57.8341
24165,27.7239,-4.1505,-52.7731
